Item_Store_ID,Item_Store_Returns
DRA59_BABATUNJI010,3658.337427880862
DRA59_BABATUNJI013,7602.974265885335
DRB01_BABATUNJI013,6697.524762063367
DRB13_BABATUNJI010,4101.50471603328
DRB13_BABATUNJI013,7267.343472972767
DRB25_BABATUNJI017,4571.098380257326
DRB25_BABATUNJI027,6564.205400641541
DRB25_BABATUNJI035,4775.7740284453275
DRB48_BABATUNJI017,4779.561106942765
DRB48_BABATUNJI027,6365.314333831933
DRB48_BABATUNJI035,4839.082993310544
DRB48_BABATUNJI046,4784.322979431355
DRB48_BABATUNJI049,4227.049453081763
DRC01_BABATUNJI017,4674.638561859238
DRC01_BABATUNJI018,4086.13733134288
DRC01_BABATUNJI027,6337.329842505933
DRC01_BABATUNJI045,4298.70277239026
DRC01_BABATUNJI046,4617.397894330385
DRC13_BABATUNJI035,4959.574999838182
DRC13_BABATUNJI045,4846.980751295465
DRC25_BABATUNJI018,4377.766766642242
DRC25_BABATUNJI019,2459.9884407647423
DRC25_BABATUNJI027,6761.450701339918
DRC25_BABATUNJI045,4467.145319686714
DRC25_BABATUNJI046,4800.168388708608
DRC27_BABATUNJI010,4921.583750517361
DRC27_BABATUNJI018,7322.254007107155
DRC27_BABATUNJI049,7759.8509025613375
DRC36_BABATUNJI013,6531.523337697829
DRD01_BABATUNJI017,4819.312646616627
DRD01_BABATUNJI018,4013.0286852411796
DRD01_BABATUNJI035,4621.7428834017155
DRD01_BABATUNJI045,4590.899976215265
DRD01_BABATUNJI049,4787.524822704381
DRD12_BABATUNJI017,4800.3402433190395
DRD12_BABATUNJI018,4472.292911018205
DRD12_BABATUNJI027,6761.450701339918
DRD12_BABATUNJI035,4642.1995957137915
DRD12_BABATUNJI045,4534.280329573116
DRD12_BABATUNJI046,4465.835909884938
DRD13_BABATUNJI017,4720.289278045468
DRD13_BABATUNJI018,3890.7006312327344
DRD13_BABATUNJI027,6207.575305553837
DRD13_BABATUNJI035,4642.593566346693
DRD13_BABATUNJI045,4502.45755908909
DRD13_BABATUNJI049,4762.0035679033435
DRD15_BABATUNJI010,4930.231522322998
DRD15_BABATUNJI013,7487.347647251182
DRD15_BABATUNJI046,7990.064802500727
DRD15_BABATUNJI049,8235.767963647042
DRD24_BABATUNJI027,9207.929610251966
DRD25_BABATUNJI027,6750.152735439246
DRD25_BABATUNJI035,4902.329601616024
DRD25_BABATUNJI045,4897.362952667704
DRD27_BABATUNJI017,4911.450968492245
DRD27_BABATUNJI019,2412.253394229815
DRD27_BABATUNJI045,4715.867903212034
DRD37_BABATUNJI017,4625.388488525886
DRD37_BABATUNJI018,3693.4209304845617
DRD37_BABATUNJI045,4681.381783897229
DRD37_BABATUNJI046,4074.9117448329007
DRD37_BABATUNJI049,4388.358282052098
DRD49_BABATUNJI046,7364.504912100487
DRD60_BABATUNJI013,6908.103508113127
DRE01_BABATUNJI010,4817.327357119941
DRE01_BABATUNJI046,7891.110468345796
DRE03_BABATUNJI017,4923.428176406695
DRE03_BABATUNJI018,3962.977673271484
DRE03_BABATUNJI035,4618.191496857543
DRE03_BABATUNJI045,4436.220142971602
DRE03_BABATUNJI046,4046.8061267713474
DRE03_BABATUNJI049,4231.007112957046
DRE12_BABATUNJI027,6757.275208996482
DRE12_BABATUNJI035,4940.066427475024
DRE12_BABATUNJI045,4997.489075924518
DRE13_BABATUNJI027,6627.700006654005
DRE13_BABATUNJI035,4703.55910705075
DRE13_BABATUNJI045,4573.893247830047
DRE13_BABATUNJI049,4165.984582846673
DRE15_BABATUNJI017,4778.688990271096
DRE15_BABATUNJI018,3928.2152793907926
DRE15_BABATUNJI019,2984.2249213516006
DRE15_BABATUNJI027,6230.023267205985
DRE15_BABATUNJI045,4418.852037387394
DRE15_BABATUNJI046,4052.2085547985416
DRE25_BABATUNJI017,5060.013235022906
DRE25_BABATUNJI027,6151.221500981052
DRE25_BABATUNJI035,4646.5188365265785
DRE27_BABATUNJI035,4683.604426190537
DRE27_BABATUNJI045,4575.4163674745205
DRE48_BABATUNJI013,7273.869011264484
DRE48_BABATUNJI046,8731.276169486036
DRE60_BABATUNJI013,8138.899005361689
DRF03_BABATUNJI018,3846.372302408715
DRF03_BABATUNJI027,5906.934268700032
DRF03_BABATUNJI035,4461.590438654893
DRF03_BABATUNJI045,4367.38789907075
DRF03_BABATUNJI046,4045.5417493001705
DRF03_BABATUNJI049,4252.040015330596
DRF25_BABATUNJI019,2736.5014696678077
DRF25_BABATUNJI027,6134.1474014381365
DRF25_BABATUNJI035,4511.688596598469
DRF25_BABATUNJI045,4452.373595003168
DRF25_BABATUNJI046,4394.315239542365
DRF25_BABATUNJI049,4567.311206256945
DRF36_BABATUNJI010,3817.4055494776985
DRF37_BABATUNJI013,7787.323532572208
DRF37_BABATUNJI018,7534.616924533053
DRF37_BABATUNJI035,10087.529966945849
DRF37_BABATUNJI045,9807.680589486117
DRF49_BABATUNJI035,4941.599711696666
DRF49_BABATUNJI045,4803.87237597889
DRF51_BABATUNJI018,3900.6375445352246
DRF51_BABATUNJI045,4158.026259616702
DRF51_BABATUNJI046,3785.959342174029
DRF60_BABATUNJI018,7650.090518602772
DRF60_BABATUNJI049,8973.375136807526
DRG01_BABATUNJI019,2752.703850070715
DRG01_BABATUNJI027,6229.029528302861
DRG01_BABATUNJI035,5009.756341683988
DRG01_BABATUNJI046,4286.512884956319
DRG11_BABATUNJI045,4841.889321533546
DRG15_BABATUNJI017,5013.426744177277
DRG15_BABATUNJI035,4798.603161393845
DRG15_BABATUNJI045,4560.506909710344
DRG15_BABATUNJI046,4549.342051182621
DRG15_BABATUNJI049,4462.707201256959
DRG25_BABATUNJI013,7280.575629997671
DRG27_BABATUNJI018,3922.8136252403665
DRG27_BABATUNJI019,2684.087566275899
DRG27_BABATUNJI045,4525.7977959732925
DRG27_BABATUNJI046,4028.342314345282
DRG27_BABATUNJI049,4307.964174152438
DRG36_BABATUNJI013,6334.545714100119
DRG39_BABATUNJI018,3953.5510204854736
DRG39_BABATUNJI046,3904.645822658574
DRG39_BABATUNJI049,4266.650571361071
DRG49_BABATUNJI010,4913.55753245462
DRG49_BABATUNJI018,8012.333770419753
DRH03_BABATUNJI018,3960.993264951822
DRH03_BABATUNJI019,2342.520718532556
DRH03_BABATUNJI035,4584.240598545202
DRH11_BABATUNJI027,6058.634191177268
DRH11_BABATUNJI045,4523.353789750034
DRH11_BABATUNJI049,4376.210747053671
DRH13_BABATUNJI019,1893.214229358251
DRH13_BABATUNJI045,4644.790412302073
DRH15_BABATUNJI018,4170.3666521721425
DRH15_BABATUNJI019,2684.087566275899
DRH15_BABATUNJI046,4028.342314345282
DRH23_BABATUNJI017,4516.487383579064
DRH23_BABATUNJI019,2602.3438907387376
DRH23_BABATUNJI045,4093.6749622277293
DRH23_BABATUNJI049,4127.920785589369
DRH25_BABATUNJI017,4877.3826541544395
DRH25_BABATUNJI027,6293.227848547391
DRH25_BABATUNJI035,5021.619897854187
DRH25_BABATUNJI045,4801.394969946799
DRH36_BABATUNJI017,5142.617059538031
DRH36_BABATUNJI019,2679.1505737762027
DRH36_BABATUNJI035,5139.886426275375
DRH36_BABATUNJI045,4720.339621704634
DRH36_BABATUNJI046,4169.542438678753
DRH39_BABATUNJI017,4420.275050656238
DRH39_BABATUNJI019,3115.456329238032
DRH39_BABATUNJI027,6252.672341523275
DRH39_BABATUNJI046,4337.527921854195
DRH39_BABATUNJI049,3892.684413087435
DRH49_BABATUNJI018,3911.5365079083936
DRH49_BABATUNJI019,2741.595836118387
DRH49_BABATUNJI046,4172.027876858501
DRH51_BABATUNJI019,2315.4560236691505
DRH51_BABATUNJI027,6749.513246715478
DRH51_BABATUNJI035,4348.829578569901
DRH51_BABATUNJI049,3799.3141027347874
DRH59_BABATUNJI046,4574.899435017414
DRH59_BABATUNJI049,4159.427918858753
DRI01_BABATUNJI013,6342.462104317327
DRI03_BABATUNJI013,6523.769907693781
DRI11_BABATUNJI027,7204.372342281335
